comparison_id,variant_id,variant_label,solver,mesh_label,mesh_mode,observable,variable,resolved_variable,support,time,time_index,elapsed_seconds,requested_time,requested_time_reducer,selection_time_order,non_initial_time_order,is_initial_state,comparison_time_key,match_fallback_key,value_index,value,is_nodata,unit,configured_unit,native_unit,derived_from_variable,conversion_applied,cell_area_m2,source_path,run_folder,selection,allow_domain_proxy,selected_cell_index,selected_cell_indices
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,outlet_flux_series,outlet_flux,drainage_flux_history_m3_s,outlet,9,9,23587200.0,all,,9,8,False,elapsed_seconds:23587200,non_initial_order:8,0,0.0,False,m3/s,m3/s,m3/s,drainage_flux_history_m3_s,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,nearest_declared_outlet_point,False,888,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,outlet_flux_series,outlet_flux,drainage_flux_history_m3_s,outlet,10,10,26265600.0,all,,10,9,False,elapsed_seconds:26265600,non_initial_order:9,0,0.0,False,m3/s,m3/s,m3/s,drainage_flux_history_m3_s,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,nearest_declared_outlet_point,False,888,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,outlet_flux_series,outlet_flux,drainage_flux_history_m3_s,outlet,11,11,28857600.0,all,,11,10,False,elapsed_seconds:28857600,non_initial_order:10,0,0.0,False,m3/s,m3/s,m3/s,drainage_flux_history_m3_s,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,nearest_declared_outlet_point,False,888,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,outlet_flux_series,outlet_flux,drainage_flux_history_m3_s,outlet,12,12,31536000.0,all,,12,11,False,elapsed_seconds:31536000,non_initial_order:11,0,0.0,False,m3/s,m3/s,m3/s,drainage_flux_history_m3_s,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_boussinesq_state_history.npz,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,nearest_declared_outlet_point,False,888,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,0,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,1,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,2,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,3,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,4,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,5,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,6,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,7,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,8,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,9,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,10,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,11,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,12,81.15666366989767,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,13,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,14,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,15,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,16,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,17,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,18,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,19,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,20,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,21,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,22,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,23,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,24,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
review_cycling_homogeneous_backends,boussinesq_scipy_sparse,Boussinesq SciPy sparse cycling,boussinesq,headwater_100km2_outlet_2,mesh_input,watertable_elevation_map,watertable_elevation,watertable_elevation,map,12,12,,last,,0,0,False,time_index:12,time_selector:last,25,81.15666661613405,False,m,m,m,watertable_elevation,,,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq\_postprocess\watertable_elevation.npy,C:\codes\HydroModPy-GH\reporting\boussinesq_figures_2026-04-12\cycling_homogeneous_scipy_sparse\results_simulations\flow_main__boussinesq,map,False,,
